*-------------------------------
* SOCIALI LETTERA  'A'

#SOCIAL
Italian     abbraccio abbracciare abbraccia~
English     hug~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Va bene, ma chi?.~
    OthersNoArg $n allarga le braccia, cercando qualcuno intorno cui stringerle.~
    CharFound   Abbraccio teneramente $N.~
    OthersFound $n stringe $N in un tenero abbraccio.~
    VictFound   $n mi stringe in un tenero abbraccio.~
    CharAuto    Faccio degli utili esercizi ginnici.~
    OthersAuto  $n apre e chiude le braccia intorno a sé.. E' folle.~
EndMessages
End

#SOCIAL
Italian     accovacci accovaccio accovacciare~
English     snuggle~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Mi accovaccio di scatto.~
    OthersNoArg $n si accovaccia piegandosi sulle ginocchia.~
    CharFound   Mi accovaccio su $N.~
    OthersFound $n si accovaccia su $N.~
    VictFound   $n si accovaccia su di me.~
EndMessages
End

#SOCIAL
Italian     accarezza carezza carezzo accarezzare~
English     caress~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Accarezzo una bella porzione d'aria.~
    OthersNoArg $n muove le mani con i palmi bene aperti.. Sta carezzando l'aria?~
    CharFound   Accarezzo $N.~
    CharFound   Accarezzo $N.~
    OthersFound $n accarezza $N.~
    VictFound   $n mi accarezza sul viso.~
    CharAuto    Mi accarezzo il viso tranquillizzando la mia epidermide.~
    OthersAuto  $n si accarezza il viso in cerca di qualche imperfezione.~
EndMessages
End

#SOCIAL
Italian     accusa accusare accuso~
English     accuse~
Intention   INTENT_NEUTRAL
Expression  accusando ~
Smiles      :^ :-^~
Messages
    CharNoArg   Chi potrei accusare?~
    OthersNoArg $n accusa un nemico invisibile.~
    CharFound   Guardo $N in maniera accusatoria.~
    OthersFound $n guarda $N in modo accusatorio.~
    VictFound   $n mi guarda in maniera accusatoria.~
    CharAuto    Ammetto la mia colpevolezza puntandomi il dito contro.~
    OthersAuto  $n ammette la propria colpevolezza puntandosi il dito contro.~
EndMessages
End

#SOCIAL
Italian     adoro adorare~
English     adore~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Sei in adorazione, ma di chi??..o di cosa???~
    OthersNoArg $n cerca qualcuno da adorare.~
